date,n_obs,n_miss,nll,family,split,L,pattern
2019-04-03,80,3,0.44270774722099304,nb,chrono,6,p3_3miss
2019-04-08,80,3,0.3862471282482147,nb,chrono,6,p3_3miss
2019-04-09,80,3,0.39665424823760986,nb,chrono,6,p3_3miss
2019-05-01,80,3,0.25174185633659363,nb,chrono,6,p3_3miss
2019-05-03,80,3,0.24608546495437622,nb,chrono,6,p3_3miss
2019-05-04,80,3,0.2379608303308487,nb,chrono,6,p3_3miss
2019-05-14,80,3,0.29606857895851135,nb,chrono,6,p3_3miss
2019-06-11,80,3,0.49713850021362305,nb,chrono,6,p3_3miss
2019-06-18,80,3,0.611840546131134,nb,chrono,6,p3_3miss
2019-06-20,80,3,0.6019055247306824,nb,chrono,6,p3_3miss
2019-06-22,80,3,0.5393169522285461,nb,chrono,6,p3_3miss
2019-06-23,80,3,0.6221095323562622,nb,chrono,6,p3_3miss
2019-06-24,80,3,0.5770773887634277,nb,chrono,6,p3_3miss
2019-07-09,80,3,0.47400709986686707,nb,chrono,6,p3_3miss
2019-07-10,80,3,0.47355422377586365,nb,chrono,6,p3_3miss
2019-07-12,80,3,0.40419524908065796,nb,chrono,6,p3_3miss
2019-07-19,80,3,0.43405547738075256,nb,chrono,6,p3_3miss
2019-07-20,80,3,0.4332842230796814,nb,chrono,6,p3_3miss
2019-07-21,80,3,0.4434892237186432,nb,chrono,6,p3_3miss
2019-07-22,52,31,0.3676721155643463,nb,chrono,6,p31_31miss
2019-07-23,52,31,0.4016396105289459,nb,chrono,6,p31_31miss
2019-07-25,80,3,0.5765727758407593,nb,chrono,6,p3_3miss
2019-07-26,80,3,0.5419557690620422,nb,chrono,6,p3_3miss
2019-07-27,52,31,0.3709525465965271,nb,chrono,6,p31_31miss
2019-07-30,52,31,0.3435766398906708,nb,chrono,6,p31_31miss
2019-07-31,52,31,0.3564814627170563,nb,chrono,6,p31_31miss
2019-08-01,52,31,0.3585411608219147,nb,chrono,6,p31_31miss
2019-08-02,52,31,0.3715011775493622,nb,chrono,6,p31_31miss
2019-08-03,52,31,0.37535929679870605,nb,chrono,6,p31_31miss
2019-08-04,52,31,0.3830927908420563,nb,chrono,6,p31_31miss
2019-08-05,52,31,0.35247373580932617,nb,chrono,6,p31_31miss
2019-08-06,52,31,0.37435808777809143,nb,chrono,6,p31_31miss
2019-12-02,80,3,0.22361524403095245,nb,chrono,6,p3_3miss
2019-12-08,80,3,0.2126518040895462,nb,chrono,6,p3_3miss
2019-12-19,80,3,0.17849265038967133,nb,chrono,6,p3_3miss
2019-12-27,80,3,0.1477499008178711,nb,chrono,6,p3_3miss
2020-01-01,80,3,0.13877911865711212,nb,chrono,6,p3_3miss
2020-01-18,29,54,0.12414328008890152,nb,chrono,6,p54_54miss
2020-01-19,29,54,0.11335216462612152,nb,chrono,6,p54_54miss
2020-01-20,29,54,0.12143132835626602,nb,chrono,6,p54_54miss
2020-01-21,29,54,0.11863205581903458,nb,chrono,6,p54_54miss
2020-04-08,80,3,0.42117995023727417,nb,chrono,6,p3_3miss
2020-04-09,80,3,0.3667699694633484,nb,chrono,6,p3_3miss
2020-04-10,80,3,0.4399905800819397,nb,chrono,6,p3_3miss
2020-04-11,80,3,0.34611454606056213,nb,chrono,6,p3_3miss
2020-04-12,80,3,0.29277053475379944,nb,chrono,6,p3_3miss
2020-04-13,80,3,0.28387895226478577,nb,chrono,6,p3_3miss
2020-04-14,80,3,0.316913902759552,nb,chrono,6,p3_3miss
2020-04-19,80,3,0.24018600583076477,nb,chrono,6,p3_3miss
2020-04-23,80,3,0.22624839842319489,nb,chrono,6,p3_3miss
2020-04-25,80,3,0.22369864583015442,nb,chrono,6,p3_3miss
2020-04-27,80,3,0.23014190793037415,nb,chrono,6,p3_3miss
2020-05-03,80,3,0.22655168175697327,nb,chrono,6,p3_3miss
2020-05-08,80,3,0.23680663108825684,nb,chrono,6,p3_3miss
